TICKER,PERMNO,NCUSIP,sdate,edate,SCORE
BAW,19581,56418320,1990-04-19,1991-05-02,1
BAW,,,1991-05-16,1991-06-19,6
BAW,75285,56418H10,1991-06-20,2023-12-29,1
BBBY,77659,07589610,1992-07-16,2023-05-02,1
BBBY,,,2023-05-18,,6
BBFS,91849,11133T10,2007-04-19,2023-12-29,1
BBGC,90494,06846N10,2004-12-16,2018-03-19,1
BBGC,90494,43114K10,2018-04-19,2020-10-29,1
BBGC,90494,43114K20,2020-11-19,2021-04-01,1
BBGI,87589,07401410,2000-03-16,2023-12-29,1
BBNA,89642,10803810,2003-02-20,2004-10-05,1
BBNA,89642,10803010,2004-10-14,2015-06-30,1
BBSI,79249,06846310,1993-10-14,2023-12-29,1
BBUY,85914,08651610,1985-04-18,2023-12-29,1
BBWA,90371,12007610,2004-11-18,2023-12-29,1
BC05,,,2004-04-15,2004-06-16,6
BC05,91015,05529810,2005-12-14,2023-12-29,1
BCB1,78763,22163N10,1992-06-16,2020-03-02,1
BCB1,78763,74167P10,2020-03-19,2023-12-29,1
BCRX,80306,09058V10,1994-05-19,2023-12-29,1
BDAL,88504,11679510,2000-09-14,2003-07-01,1
BDAL,88504,11679410,2003-07-17,2023-12-29,1
BDGE,,,2003-10-16,2004-07-14,6
BDGE,92716,10803510,2008-06-09,2021-01-31,1
BDGE,92716,25432X10,2021-02-18,2023-12-29,1
BDPI,92902,10807M10,2009-04-16,2019-04-14,1
BDPI,92902,98979V10,2019-04-18,2022-11-09,1
BDPI,,,2022-11-17,2023-12-31,6
BDSB,,,2006-01-19,2007-12-19,6
BDSB,92227,83169Y10,2007-12-20,2013-01-01,1
BDSB,92227,10140510,2013-01-17,2016-01-15,1
BDSI,,,2002-07-18,2003-11-19,6
BDSI,89445,09060J10,2003-11-20,2022-03-22,1
BEAT,92587,14159L10,2008-03-20,2013-07-31,1
BEAT,92587,09067210,2013-08-15,2021-02-08,1
BEAV,76138,07330410,1990-11-15,1992-06-04,1
BEAV,76138,07330210,1992-06-18,2017-04-12,1
BECN,90353,07368510,2004-10-14,2023-12-29,1
BEI,76224,08160H10,1990-10-18,2023-12-29,1
BEL,50534,07745510,1976-07-15,1980-12-10,5
BEL,65875,07785310,1984-02-16,2000-07-02,1
BEL,65875,92343V10,2000-07-20,2023-12-29,1
BELF,17444,07734710,1988-01-14,1998-07-09,1
BELF,17444,07734720,1998-07-16,2003-03-19,1
BELF,86242,07734730,2003-03-20,2023-12-29,1
BELF/1,86242,07734730,1998-08-20,2003-03-19,1
BELF/1,,,2003-03-20,2004-04-14,6
BELF/1,17444,07734720,2004-04-15,2023-12-29,1
BFCC,92949,44951D10,2009-06-18,2011-05-10,2
BFCC,92949,74339G10,2011-05-11,2016-05-31,2
BFCI,77478,10565810,1992-06-18,2000-07-27,1
BFCI,77478,17104610,2000-08-17,2019-04-17,1
BFCI,,,2019-04-18,2022-01-31,6
BFIN,90718,06643P10,2005-07-14,2023-12-29,1
BFX1,86889,25493110,1999-05-05,2002-05-20,1
BFX1,86889,63910B10,2002-06-20,2023-12-29,1
BG3,89138,G1696210,2001-09-20,2023-10-31,1
BGFV,89413,08915P10,2002-08-15,2023-12-29,1
BGS,91977,05508R10,2007-06-14,2023-12-29,1
BHI1,75034,05722410,1987-04-24,2017-07-04,1
BHI1,75034,05722G10,2017-07-20,2023-12-29,1
BHL,88280,08468010,2000-09-14,2023-12-29,1
BI0C,76038,09062W10,2004-04-15,2014-01-28,1
BI0C,76038,09062W20,2014-02-20,2023-12-29,1
BID,75316,83589810,1988-10-20,2019-10-02,1
BIEF,92089,09064Y10,2007-06-14,2012-06-14,1
BIEF,92089,09064Y30,2012-07-19,2014-10-27,1
BIEF,92089,39270910,2014-11-20,2023-12-29,1
BIOD,92032,09064M10,2007-05-17,2012-06-11,1
BIOD,92032,09064M20,2012-06-14,2016-11-03,1
BIOD,92032,01345P10,2016-11-17,2023-03-02,1
BKD,90988,11246310,2005-12-15,2023-12-29,1
BKHM,88149,09856Q10,2000-05-18,2004-09-09,1
BKHM,90354,09856E10,2004-10-14,2009-04-27,1
BKHM,90354,67555N10,2009-05-14,2010-04-29,1
BKHM,90354,67555N20,2010-05-20,2018-12-07,1
BKHT/1,83443,08467020,1998-07-16,2010-01-20,1
BKHT/1,83443,08467070,2010-02-18,2023-12-29,1
BKLE,77584,11844010,1992-07-16,2023-12-29,1
BKMU,88792,06374810,2001-11-15,2003-10-29,1
BKMU,88792,06375010,2003-11-20,2018-01-31,1
BKS,79667,06777410,1993-12-16,2019-08-06,1
BKYF,,,1997-11-20,1998-05-13,6
